SKU,Nombre actual,Categoria,Precio regular,Precio activo,Descripcion comercial (Oferta irresistible),Beneficio principal,Caracteristicas / ficha tecnica,Tipo de producto,Estado,Stock,Notas,,,,,
lc-feromonasel,FEROMONAS PARA EL,LUBRICANTES Y CREMAS,280,280,"Atracción despierta presencia, magnetismo y seguridad en cada encuentro. Su aroma icónico envuelve, seduce y deja una impresión imposible de ignorar. Dos formatos, mismo poder de impacto.",Aumenta el atractivo y la huella sensorial,"Perfume con feromonas para él, diseñado para volverse irresistible con un agradable aroma para uso diario. Contenido: 60 ml.",LUBRICANTES Y CREMAS,Activo,1,,,,,,
lc-feromonasella,FEROMONAS PARA ELLA,LUBRICANTES Y CREMAS,280,280,"Atracción potencia tu presencia con un aroma seductor y memorable. Diseñado para despertar interés, generar cercanía y dejar una impresión irresistible desde el primer instante. Doble formato, doble impacto.",Refuerza el magnetismo y la atracción,"Perfume con feromonas para ella, diseñado para volverse irresistible. Aroma agradable para uso diario. Contenido: 60 ml.",LUBRICANTES Y CREMAS,Activo,0,,,,,,
lc-kiss,SEXO ORAL CALOR Y FRÍO,LUBRICANTES Y CREMAS,100,100,"Explosión de sensaciones en cada contacto. Dulce para sexo oral con efecto frío y calor que despierta la piel, intensifica la experiencia y convierte cada caricia en puro juego sensorial.",Estimulación térmica que multiplica el placer,Producto diseñado para sensaciones térmicas durante el sexo oral. Ofrece métodos de uso que combinan efectos de frío y calor para intensificar el placer. Contenido: 10 ml c/u.,LUBRICANTES Y CREMAS,Activo,1,,,,,,
lc-lubcannabis,HEMP TOUT TEMPS 30 ML,LUBRICANTES Y CREMAS,250,250,"Deslizamiento sedoso, tacto suave y sensaciones amplificadas. Tout Temps Hemp ofrece una experiencia cálida y envolvente que intensifica cada contacto y prolonga el disfrute.",Suavidad superior con máxima sensibilidad,Aceite lubricante con cannabis. Contenido: 30 ml.,LUBRICANTES Y CREMAS,Activo,1,,,,,,
lc-algodon,LUBRICANTE LOVE IS LOVE 20 ML,LUBRICANTES Y CREMAS,200,200,"Dulzura irresistible, deslizamiento sedoso y calor envolvente. Feellove Algodón de Azúcar convierte cada contacto en una experiencia suave, divertida y cargada de sensaciones.",Estimulación cálida con sabor delicioso, Base agua · Comestible · Sabor algodón de azúcar · Efecto calor · Uso anal · 20 ml,LUBRICANTES Y CREMAS,Activo,1,,,,,,
lc-feel4en1,LUBRICANTE 4 EN 1 FEEL,LUBRICANTES Y CREMAS,220,220,Explosión de sensaciones y sabor irresistible. Lubricante Térmico Cereza despierta la piel con un juego de temperatura que intensifica cada caricia y eleva el placer en cualquier zona.,Estimulación térmica que amplifica la experiencia,"Producto 4 en 1: lubricante, para masaje, térmico y comestible. Sabor de acuerdo a existencia. Contenido: 30 ml.",LUBRICANTES Y CREMAS,Activo,0,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
af-collar,COLLAR,ARNES Y FETISH,150,150," Arnés fetiche diseñado para juegos de dominación y control, ideal para explorar fantasías en pareja con seguridad y actitud, pieza versátil para llevar el rol al siguiente nivel.",Mayor control y excitación en dinámicas fetiche,"Arnés fetiche para adultos, material sintético resistente y cómodo, diseño ajustable para hombres o mujeres, compatible con juegos BDSM y accesorios sexuales.",ARNES Y FETISH,Activo,4,,,,,,
af-pinzas,PINZAS PARA PEZONES,ARNES Y FETISH,100,100," Pinzas para pezones de acabado premium que intensifican la sensibilidad y el juego erótico, diseño elegante para estimulación controlada, ideales para elevar la experiencia fetiche.",Estimulación intensa y controlada,"Pinzas para pezones para adultos, diseño premium de uso fetiche, una unidad, compatibles con juegos eróticos y BDSM ligero.",ARNES Y FETISH,Activo,1,,,,,,
af-7pz,KIT BONDAGE 7 PZ ,ARNES Y FETISH,500,500,"Kit BDSM de 7 piezas con esposas, puños, mordaza, látigo, venda y cuerda que permite control total y juegos de dominación seguros, ideal para explorar fantasías y elevar la intensidad en pareja.","Control, sumisión y placer en un solo set","Kit bondage diseñado para juegos sexuales estilo BDSM. Incluye 7 piezas, entre ellas una mordaza ajustable con orificios para facilitar la respiración y una soga de bondage de algodón suave.",ARNES Y FETISH,Activo,1,,,,,,
af-esposas,ESPOSAS PELUCHE,ARNES Y FETISH,200,200,Esposas con recubrimiento de peluche.,Sumisión aterciopelada , Incluye juego de llaves. Color de acuerdo a inventario. Presentación en bolsa.,ARNES Y FETISH,Activo,1,,,,,,
af-kitnegro,KIT FETISH,ARNES Y FETISH,380,380,"Kit fetish acojinado con esposas, látigo y antifaz diseñado para juegos de control suaves pero intensos, ideal para iniciar o reforzar dinámicas BDSM con comodidad y estilo.",Dominio y estimulación con mayor confort,Kit de fetish que incluye látigo y antifaz. Ideal para complementar juegos de rol y experiencias sensoriales.,ARNES Y FETISH,Activo,0,,,,,,
af-mordaza,MORDAZA PARA LA BOCA,ARNES Y FETISH,180,180,"Mordaza transpirable con bola de cristal hipoalergénico que intensifica el juego de control con elegancia, ajuste cómodo y seguro, diseño premium para experiencias fetiche sofisticadas.",Control y excitación con máximo confort,"Bola de cristal hipoalergénico de 4 cm de diámetro, correa de piel suave ajustable, acabado premium, dimensiones del producto 6.99 × 10.16 × 20.32 cm, peso aproximado 170 g.",ARNES Y FETISH,Activo,2,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
mb-bocalengua,MASTURBADOR BOCA LENGUA,MASTURBADORES Y BOMBAS,450,450,MASTURBADOR BOCALENGUA. Convierte cada encuentro en una experiencia sublime. Su tacto aterciopelado y acabados premium garantizan una estimulación precisa y profunda.,Estimulación oral realista y envolvente,Masturbador de boca texturizado por dentro para una experiencia realista. Imágenes ilustrativas.,MASTURBADORES,Activo,0,,,,,,
mb-evenbiger,MASTURBADOR EVEN BIGER,MASTURBADORES Y BOMBAS,350,350,MASTURBADOR EVENBIGER. Una pieza sofisticada que combina elegancia y potencia. Su diseño ergonómico está pensado para adaptarse perfectamente a tu cuerpo y explorar nuevos límites del placer.,Estimulación realista y envolvente,Masturbador suave realístico fabricado en material TPE. Medidas: 80 mm x 80 mm x 160 mm. Peso: 230 g.,MASTURBADORES,Activo,1,,,,,,
mb-bombamen,BOMBA DE VACIO MANUAL,MASTURBADORES Y BOMBAS,650,650,"MASTURBADOR BOMBAMEN. Diseñado para intensificar cada caricia con una textura suave y natural. Ideal para quienes buscan mayor comodidad, fluidez y sensaciones más placenteras.",Estimulación y expansión controlada,"Tubo de ABS médico, anticaída y antigrietas. Ventosa manual fácil de operar con escala precisa. El bombeo aumenta el flujo sanguíneo al área del pene para estimular una erección más firme. Paquete Deluxe (con Airbag).",MASTURBADORES,Activo,1,,,,,,
mb-huevo,HUEVO MASTURBADOR TENGA,MASTURBADORES Y BOMBAS,200,200,"Masturbador Tenga Egg Spider con interior tipo telaraña y múltiples puntos de contacto, textura elástica y envolvente para una estimulación intensa y atrapante en cada uso.",Estimulación intensa con máximo contacto,"Masturbador masculino desechable y discreto, interior con textura tipo telaraña Spider de alta fricción, lubricación incluida, material elástico adaptable a todos los tamaños, medidas 6 × 4 × 4 cm.",MASTURBADORES,Activo,1,,,,,,
mb-juanita,MASTURBADOR JUANITA,MASTURBADORES Y BOMBAS,250,250,"Masturbador para hombre tipo boca con sensación «Real Feel». Suave, flexible y texturizado por dentro para una mayor estimulación. Color latino. ",Estimulación realista y placentera ,Medidas: 14 cm Largo x 6 cm.,MASTURBADORES,Activo,1,,,,,,
mb-bombagm,BOMBA MANUAL CON ACCESORIOS,MASTURBADORES Y BOMBAS,650,650,"MASTURBADOR BOMBAGM. La elección perfecta para elevar la temperatura y descubrir nuevas facetas de tu sensualidad. Discreto, potente y absolutamente irresistible.",Estimulación y control personalizado,Bomba de vacío diseñada para agrandar el pene. Fabricada en material PC + ABS. Incluye accesorios y cuenta con un tamaño de 18 * 5 cm.,MASTURBADORES,Activo,0,,,,,,
,,,,,,,,,,,,,,,,
, ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
fa-dragonvib,FUNDA DRAGON CON VIBRACIÓN,FUNDAS Y ANILLOS,450,450,"Funda vibradora extensora para pene con diseño tipo dragón que intensifica la estimulación, ayuda a retardar la eyaculación y potencia el placer en pareja con vibración y ajuste seguro.",Mayor duración y estimulación en pareja,"Funda vibradora extensora para pene, material TPE suave y elástico no tóxico, diseño con vibración y anillo testicular integrado, extensor hasta 9.6 cm, compatible con lubricante a base de agua.",FUNDAS Y ANILLOS,Activo,2,,,,,,
fa-silicon3,ANILLO CON EXTENSIÓN,FUNDAS Y ANILLOS,200,200,"Herramienta de masaje 100% nueva. Material de calidad, suave, duradero y reutilizable después de su limpieza. Fabricado en silicón.",Erecciones más firmes y duraderas,"Anillo de pene doble para eje y escroto, silicona de grado alimenticio no porosa, libre de látex y ftalatos, ayuda a restringir suavemente el flujo sanguíneo para mayor firmeza y duración.",FUNDAS Y ANILLOS,Activo,2,,,,,,
fa-silicon4,ANILLO EXTENSIÓN CON ESTIMULADOR ,FUNDAS Y ANILLOS,200,200,"Anillo para pene de silicona ajustable que potencia la erección y prolonga el rendimiento, diseño cómodo y reutilizable que intensifica el placer en pareja con ajuste seguro.",Erecciones más firmes y duraderas,"Anillo para pene reutilizable de silicona suave y elástica, diseño ajustable para distintas circunferencias, ayuda a mantener la erección al restringir suavemente el flujo sanguíneo.",FUNDAS Y ANILLOS,Activo,2,,,,,,
fa-kitanillos,KIT DE ANILLOS 4 PZ,FUNDAS Y ANILLOS,250,250,"Set de anillos retardantes de silicona que brillan en la oscuridad, diseño estimulante para prolongar el rendimiento y elevar el placer en pareja con ajuste cómodo.",Mayor duración con estimulación divertida,"Set de 4 anillos para pene, material silicona suave, forma estrella, ajustables, sin vibración ni batería, formato pack, reutilizables, brillo en la oscuridad, uso para adultos.",FUNDAS Y ANILLOS,Activo,1,,,,,,
fa-transparente,FUNDA TRANSPARENTE,FUNDAS Y ANILLOS,300,300,"Funda extensora vibratoria de silicona que ayuda a retardar la eyaculación y aumentar el grosor, diseño ergonómico con textura para estimular a la pareja y prolongar el placer.",Mayor duración y estimulación en pareja,"Funda extensora vibratoria para pene, material silicona segura para el cuerpo, ultra flexible y elástica, ayuda a reducir sensibilidad y retardar la eyaculación, textura con venas.",FUNDAS Y ANILLOS,Activo,0,,,,,,
fa-mano,MANO TEXTURIZADA,FUNDAS Y ANILLOS,100,100,"Funda para mano diseñada para estimular zonas erógenas. Es unitalla, reutilizable, suave y cuenta con texturas prominentes para mayor sensación.",Estimulación sensorial suave e intensa,"Guante de masaje para mano derecha, material silicona no tóxica ultra suave, diseño hueco transpirable, elástico y reutilizable, fácil de limpiar y secar al aire, cómodo para baño y masajes.",FUNDAS Y ANILLOS,Activo,1,,,,,,
fa-descubierta,FUNDA DESCUBIERTA,FUNDAS Y ANILLOS,250,250,Funda para pene diseñada para aumentar el grosor y la sensibilidad gracias a su textura interna. Este modelo mantiene la cabeza libre para conservar la sensibilidad natural.,Comodidad suave y versátil,"Accesorio con relleno de poliéster, dimensiones 10 cm, peso 0.2 kg, contenido del empaque 1 unidad.",FUNDAS Y ANILLOS,Activo,2,,,,,,
fa-anillorecargable,ANILLO DE PENE CON VIBRACIÓN RETARDADOR DE EYACULACIÓN,FUNDAS Y ANILLOS,650,650,"Anillo de pene vibrante doble que aprieta y estimula al mismo tiempo, 10 modos de vibración para mayor control y placer prolongado, recargable e impermeable para usar sin límites.",Erecciones más firmes y mayor control de la eyaculación," Silicona flexible, doble anillo con motor de 10 vibraciones, carga magnética USB, resistente al agua, diámetros internos 32/47/62 mm, altura total 72 mm, grosor 8 mm.",FUNDAS Y ANILLOS,Activo,0,,,,,,
fa-anillocontrol,ANILLO RECARGABLE CON CONTROL,FUNDAS Y ANILLOS,650,650," Vibrador con control remoto y anillos que estimula pene y clítoris al mismo tiempo, diseño curvo con textura que mantiene contacto durante la penetración, ideal para juegos discretos.",Estimulación simultánea,"Silicona líquida grado médico, vibrador con control remoto, recargable USB y resistente al agua, tamaño 4.5 × 8.5 × 11.5 cm, incluye anillo, control y cable de carga.",FUNDAS Y ANILLOS,Activo,0,,,,,,
fa-silicon2,ANILLO SILICON DUAL,FUNDAS Y ANILLOS,180,180," Anillo doble de silicona que rodea pene y testículos para mayor presión y control, ayuda a retardar la eyaculación y mejorar la erección, más firmeza y placer compartido",Erecciones más duras,"Silicona flexible e inodora, diseño doble elástico con múltiples formas de uso, cómodo y reutilizable para sesiones prolongadas.",FUNDAS Y ANILLOS,Activo,2,,,,,,
fa-condones,CONDON LATEX TEXTURIZADO,FUNDAS Y ANILLOS,120,120,Condón de látex texturizado diseñado para juegos sexuales y sensaciones intensas. ,Más placer y estimulación segura,Contenido: Caja con 2 condones lubricados. Modelos se envían al azar. Látex de alta calidad.,FUNDAS Y ANILLOS,Activo,1,,,,,,
fa-desechable,ANILLO DESECHABLE,FUNDAS Y ANILLOS,150,150,"Anillo vibrador discreto con textura rugosa superior para estimular el clítoris y bolitas internas para placer masculino, vibración envolvente para ambos.",Estimulación simultánea,"Anillo elástico de silicona SEBS hipoalergénica, texturizado, libre de látex y ftalatos, batería integrada con duración aproximada de 30 minutos.",FUNDAS Y ANILLOS,Activo,11,,,,,,
fa-estimuclitoris,EXTENSIÓN CON ESTIMULADOR DE CLÍTORIS,FUNDAS Y ANILLOS,700,700,"Anillo con estimulador y plug anal vibrante que activa el placer desde dos puntos, textura y vibración potente para sensaciones intensas, ideal para juegos en pareja.",Placer doble con vibración profunda,"Extensión fabricada en silicona con una longitud de 12,5 cm. Incluye un estimulador de clítoris integrado. Fuente de alimentación: 3 baterías LR44.",FUNDAS Y ANILLOS,Activo,0,,,,,,
fa-contension,ANILLOS DE CONTENSION,FUNDAS Y ANILLOS,90,90,Anillos de estiramiento ideales para sostener la erección y prolongar la eyaculación. Ayudan a que el miembro permanezca más firme para un mejor rendimiento.,Erecciones más firmes y sexo más duradero,"Silicona de alta calidad segura para el cuerpo, elásticos y reutilizables, resistentes al agua y fáciles de limpiar, set en tres colores: negro, azul y transparente.",FUNDAS Y ANILLOS,Activo,0,,,,,,
fa-vibrador,FUNDA CON VIBRADOR,FUNDAS Y ANILLOS,400,400,"Anillo fino vibrante multifrecuencia que ayuda a retardar la eyaculación y mantener la erección, discreto, silencioso e impermeable para usar sin límites.",Mayor control y duración con estimulación ajustable,Funda de silicona en color negro. Incluye una bala vibradora de una sola velocidad y pila.,FUNDAS Y ANILLOS,Activo,1,,,,,,
fa-silicon,ANILLO DE SILICONA TIPO FUNDA,FUNDAS Y ANILLOS,200,200,"Funda de silicona suave y elástica, diseñada para ser inofensiva al contacto. ",Mayor placer y estimulo para tu pareja ,Es de color negro y tiene unas medidas aproximadas de 8.3 cm x 4.7 cm x 3.3 cm.,FUNDAS Y ANILLOS,Activo,0,,,,,,
fa-ajustable,ANILLO VIBRADOR AJUSTABLE ,FUNDAS Y ANILLOS,250,250,"Anillo ajustable con vibración para pene, diseñado para tu máxima comodidad y placer. ",Estimulación para erecciones más duraderas ,ABS + silicón · 3 baterías tipo botón · Resistente al agua · Función vibración · 4.5 x 7 cm · Presentación en bolsa,FUNDAS Y ANILLOS,Activo,3,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
vs-gold,RHINO GOLD,VIGORIZANTES SEXUALES,250,250,"Cápsulas Rhino 14K Gold diseñadas para impulsar energía y libido, apoyo efectivo para el rendimiento sexual, ideales para tomar antes del encuentro o como preparación regular.",Mayor energía y rendimiento sexual,"Suplemento vigorizante sexual en cápsula, apoyo para energía y libido, presentación 1 cápsula (1 ct), uso recomendado una hora antes de la actividad sexual, producto para adultos.",VIGORIZANTES SEXUALES,Activo,0,,,,,,
vs-racingbull,RACING BULL,VIGORIZANTES SEXUALES,250,250,Potencializador sexual masculino contenido en una cápsula individual. El fabricante indica que su efecto tiene una duración de hasta 7 días.,Mayor firmeza y duración sexual,"Suplemento herbal en cápsula, mezcla propietaria, presentación 1 cápsula por bolsa. Uso exclusivo para adultos, apoyo para energía, firmeza, duración y longitud.",VIGORIZANTES SEXUALES,Activo,0,,,,,,
vs-bombay,BOMBAY ROYAL HONEY,VIGORIZANTES SEXUALES,250,250,Suplemento creado con miel pura e ingredientes naturales diseñado para fortalecer la energía sexual e intensificar el deseo. Promueve sensaciones más intensas y una mayor satisfacción general.,"Mayor energía, firmeza y control sexual","Vigorizante sexual natural en presentación 15 g, fórmula con miel pura 98%, Panax Ginseng 1% y Eurycoma longifolia 1%, apoyo para libido, energía, firmeza y duración.",VIGORIZANTES SEXUALES,Activo,0,,,,,,
vs-rhinoc,RHINO 7,VIGORIZANTES SEXUALES,350,350,"Suplemento diseñado para maximizar el tiempo de la actividad sexual y el volumen de la eyaculación. Ayuda a evitar la eyaculación precoz, permite un mayor control y promueve una erección dura.",Energía y rendimiento prolongado,"Suplemento vigorizante masculino en cápsulas, presentación blíster con 2 cápsulas, dosis sugerida 1 cápsula, efecto prolongado hasta 24 horas.",VIGORIZANTES SEXUALES,Activo,1,,,,,,
vs-ibizaw,IBIZA WOMAN,VIGORIZANTES SEXUALES,250,250,"Está diseñado para aumentar la excitación, despertar el apetito sexual, intensificar el orgasmo y restaurar el deseo sexual. Es un producto 100% natural sin efectos secundarios conocidos.",Mayor excitación y deseo sexual,"Vigorizante sexual femenino en cápsula, fórmula 100% natural, efecto en aproximadamente 30 minutos, compatible con alcohol, dosis máxima 1 cápsula al día, uso exclusivo para adultos.",VIGORIZANTES SEXUALES,Activo,1,,,,,,
vs-sense,G SENSE,VIGORIZANTES SEXUALES,250,250,"G Sense potencia la excitación femenina y despierta el deseo sexual, acelera e intensifica el orgasmo con efecto rápido, ideal para disfrutar placer más intenso con confianza.",Orgasmos más intensos y rápidos,"Vigorizante sexual femenino de origen 100% natural, aumenta excitación y deseo, acelera el orgasmo, compatible con alcohol, sin efectos secundarios, toma recomendada 30 minutos antes.",VIGORIZANTES SEXUALES,Activo,2,,,,,,
vs-dragon,DRAGON,VIGORIZANTES SEXUALES,250,250,"Dragon 69 es un vigorizante masculino en pastilla que impulsa energía y vitalidad, diseñado para mejorar el rendimiento con un efecto práctico y discreto, ideal para momentos clave.",Mayor energía y vitalidad masculina,"Vigorizante sexual masculino en pastilla, presentación 1 unidad (modelo 750 K), apoyo para rendimiento y confianza, uso sencillo y discreto, formulación efectiva para resultados óptimos.",VIGORIZANTES SEXUALES,Activo,1,,,,,,
vs-rhino69,RHINO 69000,VIGORIZANTES SEXUALES,250,250,"Dragon 69 es un vigorizante masculino en pastilla que impulsa energía y desempeño, apoyo efectivo para mayor confianza y vitalidad en momentos clave, ideal para disfrutar encuentros con más intensidad.",Mayor energía y rendimiento masculino,"Vigorizante sexual masculino en pastilla, presentación 1 unidad, apoyo para energía y desempeño, uso sencillo y discreto, formulación diseñada para resultados efectivos.",VIGORIZANTES SEXUALES,Activo,2,,,,,,
vs-burro,BURRO EN PRIMAVERA,VIGORIZANTES SEXUALES,250,250,"Cápsula Burro en Primavera diseñada para maximizar tiempo, tamaño y estamina, apoyo efectivo para erecciones firmes y sesiones prolongadas sin molestias.",Rendimiento prolongado sin dolor de cabeza,"Vigorizante sexual masculino en cápsula, efecto de hasta 14 días por dosis, apoyo para erección firme y control de eyaculación, dosis 1 cápsula una hora antes de la actividad sexual.",VIGORIZANTES SEXUALES,Activo,1,,,,,,
vs-savage,SAVAGE BEST 5000,VIGORIZANTES SEXUALES,250,250,"Savage Beast 5000 es una cápsula vigorizante masculina diseñada para potenciar energía y desempeño, efecto prolongado de hasta una semana completa, ideal para mantener vitalidad.",Energía y rendimiento por 7 días,"Vigorizante sexual masculino en cápsula, presentación en blíster con 1 cápsula, efecto prolongado hasta 168 horas, apoyo para energía y desempeño, dosis recomendada 1 cápsula.",VIGORIZANTES SEXUALES,Activo,1,,,,,,
vs-rhinomiel,RHINO 69 MIEL ACCION RAPIDA ,VIGORIZANTES SEXUALES,250,250,"Rhino 69 Miel Acción Rápida y Duradera. Potenciador Masculino. Mejora tu Rendimiento en tiempo, respuesta y resistencia. ",Energía y duración prolongados ,Sobre individual · 1 unidad por envase · 1 unidad por pack · Formato líquido · Sabor miel · 15 g (16 g neto),VIGORIZANTES SEXUALES,Activo,2,,,,,,
vs-popper,POPPERS RUSH ESTIMULANTES ,VIGORIZANTES SEXUALES,420,420,Potencializador sexual. Incienso para brindarte un efecto revitalizante que estimula tus sentidos y mejora tu estado de ánimo. ,Energía explosiva para mayor placer ,"Vigorizante en botella de vidrio de 10 ml. Varias presentaciones y colores, según existencias. (Prohibido el uso en menores de edad). ",VIGORIZANTES SEXUALES,Activo,1,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
rs-indio,RETARDANTE EN SPAY INDIO,RETARDANTES SEXUALES,250,250,"Spray retardante de acción rápida que prolonga el control, fórmula base agua compatible con látex y piel sensible, ideal para disfrutar más tiempo sin perder sensación.",Mayor control sin perder sensibilidad,Retardante en spray con un contenido neto de 10 ml. Se recomienda rociar sobre el glande y el surco coronario 30 minutos antes de la relación sexual y distribuir uniformemente.,LUBRICANTES Y CREMAS,Activo,1,,,,,,
rs-maxxx,RETARDANTE EN SPRAY MAXXX,RETARDANTES SEXUALES,200,200,Retardante en formato spray diseñado para ayudar con los problemas de eyaculación precoz. Se aclara que no es un medicamento.,Controla la eyaculación,"Presentación con despachador  de 15.4 ml, después de aplicarlo esperar 3 min para que haga efecto, para retirar el producto lava con agua y jabón.",LUBRICANTES Y CREMAS,Activo,1,,,,,,
rs-sta,LUBRICANTE CREMA STA HARD,RETARDANTES SEXUALES,350,350,"Crema retardante con efecto desensibilizante que prolonga el control, fórmula con benzocaína al 5% para mayor duración, ideal para mantener el ritmo y disfrutar más tiempo con tu pareja.",Mayor control y duración,"Crema retardante desensibilizante para retrasar la eyaculación, contiene benzocaína 5%, aplicación tópica en pene erecto, efecto de mayor control y duración.",LUBRICANTES Y CREMAS,Activo,0,,,,,,
rs-stud,RETARDANTE STUD 100 ORIGINAL ,RETARDANTES SEXUALES,450,450,"Lubricante retardante para hombre. Stud 100 Original, importado de USA. ",Mejora el rendimiento y controla la eyaculación ,30 g · Unidad individual · Sin sabor · Efecto lubricante · Base spray · Uso genital masculino · Compatible con látex,LUBRICANTES Y CREMAS,Activo,1,,,,,,
